,geohash,latitude,longitude,time,icon,precipType,summary
7,c23h13fztss6,47.1203,-122.2848,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c20wdn8ztvms,46.1796,-122.9577,2020-01-20 00:00:00-08:00,rain,rain,Light rain overnight.
1,c20wdn8ztvms,46.1796,-122.9577,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
2,c20wdn8ztvms,46.1796,-122.9577,2020-01-22 00:00:00-08:00,rain,rain,Light rain throughout the day.
3,c20wdn8ztvms,46.1796,-122.9577,2020-01-23 00:00:00-08:00,rain,rain,Light rain throughout the day.
4,c20wdn8ztvms,46.1796,-122.9577,2020-01-24 00:00:00-08:00,rain,rain,Light rain throughout the day.
5,c20wdn8ztvms,46.1796,-122.9577,2020-01-25 00:00:00-08:00,rain,rain,Light rain until evening.
6,c20wdn8ztvms,46.1796,-122.9577,2020-01-26 00:00:00-08:00,rain,rain,Possible light rain starting in the afternoon.
7,c20wdn8ztvms,46.1796,-122.9577,2020-01-27 00:00:00-08:00,rain,rain,Light rain throughout the day.
0,c22wzbg43gfc,47.5973,-122.7021,2020-01-20 00:00:00-08:00,rain,rain,"Light rain until morning, starting again in the evening."
1,c22wzbg43gfc,47.5973,-122.7021,2020-01-21 00:00:00-08:00,rain,rain,Light rain throughout the day.
